dateHeureDebutDAY;Visites
2024-02-12;976,0
2024-02-13;784,0
2024-02-14;743,0
2024-02-15;861,0
2024-02-16;867,0
2024-02-17;673,0
2024-02-18;710,0
2024-02-19;973,0
2024-02-20;984,0
2024-02-21;1048,0
2024-02-22;1079,0
2024-02-23;1183,0
2024-02-24;1189,0
2024-02-25;2588,0
2024-02-26;4682,0
2024-02-27;4046,0
2024-02-28;3502,0
2024-02-29;3545,0
2024-03-01;2879,0
2024-03-02;1594,0
2024-03-03;2477,0
2024-03-04;4308,0
2024-03-05;3973,0
2024-03-06;3448,0
2024-03-07;3904,0
2024-03-08;2911,0
2024-03-09;1648,0
2024-03-10;2495,0
2024-03-11;4395,0
2024-03-12;3540,0
2024-03-13;3404,0
2024-03-14;3796,0
2024-03-15;2601,0
2024-03-16;1452,0
2024-03-17;2442,0
2024-03-18;4740,0
2024-03-19;3748,0
2024-03-20;3177,0
2024-03-21;3778,0
2024-03-22;2762,0
2024-03-23;1483,0
2024-03-24;2441,0
2024-03-25;3490,0
2024-03-26;3480,0
2024-03-27;2897,0
2024-03-28;3313,0
2024-03-29;2669,0
2024-03-30;1186,0
2024-03-31;1231,0
2024-04-01;2568,0
2024-04-02;3879,0
2024-04-03;2877,0
2024-04-04;3293,0
2024-04-05;2195,0
2024-04-06;626,0
2024-04-07;592,0
2024-04-08;754,0
2024-04-09;661,0
2024-04-10;576,0
2024-04-11;579,0
2024-04-12;538,0
2024-04-13;424,0
2024-04-14;511,0
2024-04-15;779,0
2024-04-16;741,0
2024-04-17;733,0
2024-04-18;860,0
2024-04-19;855,0
2024-04-20;940,0
2024-04-21;2018,0
2024-04-22;3665,0
2024-04-23;3280,0
2024-04-24;2815,0
2024-04-25;3332,0
2024-04-26;2471,0
2024-04-27;1299,0
2024-04-28;2322,0
2024-04-29;3753,0
2024-04-30;3082,0
2024-05-01;2466,0
2024-05-02;3457,0
2024-05-03;2396,0
2024-05-04;1278,0
2024-05-05;2138,0
2024-05-06;3943,0
2024-05-07;3346,0
2024-05-08;1170,0
2024-05-09;951,0
2024-05-10;950,0
2024-05-11;1131,0
2024-05-12;2288,0
2024-05-13;4035,0
2024-05-14;3888,0
2024-05-15;3466,0
2024-05-16;3875,0
2024-05-17;2924,0
2024-05-18;1222,0
2024-05-19;1334,0
2024-05-20;2615,0
2024-05-21;4247,0
2024-05-22;3549,0
2024-05-23;4332,0
2024-05-24;3153,0
2024-05-25;1462,0
2024-05-26;2214,0
2024-05-27;4016,0
2024-05-28;3406,0
2024-05-29;2628,0
2024-05-30;3141,0
2024-05-31;2490,0
2024-06-01;949,0
2024-06-02;1486,0
2024-06-03;3023,0
2024-06-04;2858,0
2024-06-05;2067,0
2024-06-06;2551,0
2024-06-07;2082,0
2024-06-08;680,0
2024-06-09;1250,0
2024-06-10;2621,0
2024-06-11;2181,0
2024-06-12;1631,0
2024-06-13;1459,0
2024-06-14;926,0
2024-06-15;509,0
2024-06-16;763,0
2024-06-17;1182,0
2024-06-18;770,0
2024-06-19;597,0
2024-06-20;535,0
2024-06-21;384,0
2024-06-22;225,0
2024-06-23;313,0
2024-06-24;535,0
2024-06-25;497,0
2024-06-26;609,0
2024-06-27;491,0
