dateHeureDebutDAY;Autre;Console de jeux;Ordinateur;Skolengo App;Smartphone;Tablette
2024-02-12;0,0;0,0;436,0;119,0;418,0;3,0
2024-02-13;0,0;0,0;320,0;84,0;377,0;3,0
2024-02-14;0,0;0,0;318,0;79,0;345,0;1,0
2024-02-15;0,0;0,0;367,0;88,0;400,0;6,0
2024-02-16;0,0;0,0;386,0;80,0;399,0;2,0
2024-02-17;0,0;0,0;285,0;77,0;307,0;4,0
2024-02-18;0,0;0,0;290,0;75,0;343,0;2,0
2024-02-19;0,0;0,0;465,0;82,0;420,0;6,0
2024-02-20;0,0;0,0;461,0;96,0;425,0;2,0
2024-02-21;0,0;0,0;498,0;96,0;452,0;2,0
2024-02-22;0,0;0,0;535,0;109,0;434,0;1,0
2024-02-23;0,0;0,0;578,0;95,0;509,0;1,0
2024-02-24;0,0;0,0;545,0;117,0;520,0;7,0
2024-02-25;0,0;0,0;1084,0;226,0;1269,0;9,0
2024-02-26;0,0;0,0;1772,0;474,0;2425,0;11,0
2024-02-27;0,0;0,0;1597,0;388,0;2050,0;11,0
2024-02-28;0,0;0,0;1379,0;340,0;1775,0;8,0
2024-02-29;1,0;0,0;1082,0;397,0;2052,0;13,0
2024-03-01;0,0;0,0;1072,0;279,0;1520,0;8,0
2024-03-02;0,0;0,0;688,0;150,0;752,0;4,0
2024-03-03;0,0;0,0;1086,0;223,0;1156,0;12,0
2024-03-04;0,0;0,0;1665,0;406,0;2231,0;6,0
2024-03-05;0,0;0,0;1723,0;383,0;1859,0;8,0
2024-03-06;0,0;0,0;1444,0;313,0;1679,0;12,0
2024-03-07;0,0;0,0;1507,0;380,0;2008,0;9,0
2024-03-08;0,0;0,0;1094,0;266,0;1547,0;4,0
2024-03-09;0,0;0,0;750,0;148,0;742,0;8,0
2024-03-10;0,0;0,0;1119,0;214,0;1158,0;4,0
2024-03-11;0,0;0,0;1747,0;419,0;2223,0;6,0
2024-03-12;0,0;0,0;1460,0;400,0;1673,0;7,0
2024-03-13;0,0;0,0;1424,0;315,0;1657,0;8,0
2024-03-14;0,0;0,0;1425,0;422,0;1940,0;9,0
2024-03-15;0,0;0,0;905,0;306,0;1387,0;3,0
2024-03-16;0,0;0,0;596,0;174,0;679,0;3,0
2024-03-17;0,0;0,0;1022,0;225,0;1188,0;7,0
2024-03-18;0,0;0,0;1600,0;524,0;2603,0;13,0
2024-03-19;0,0;0,0;1232,0;392,0;2119,0;5,0
2024-03-20;0,0;0,0;1317,0;312,0;1541,0;7,0
2024-03-21;0,0;0,0;1481,0;390,0;1891,0;16,0
2024-03-22;0,0;0,0;1092,0;303,0;1364,0;3,0
2024-03-23;0,0;0,0;661,0;155,0;662,0;5,0
2024-03-24;0,0;0,0;1115,0;232,0;1084,0;10,0
2024-03-25;0,0;0,0;1286,0;404,0;1798,0;2,0
2024-03-26;0,0;0,0;1419,0;390,0;1665,0;6,0
2024-03-27;0,0;0,0;1163,0;301,0;1430,0;3,0
2024-03-28;2,0;0,0;1331,0;357,0;1619,0;4,0
2024-03-29;1,0;0,0;1076,0;275,0;1314,0;3,0
2024-03-30;0,0;0,0;480,0;138,0;568,0;0,0
2024-03-31;1,0;0,0;494,0;134,0;600,0;2,0
2024-04-01;2,0;0,0;990,0;266,0;1307,0;3,0
2024-04-02;1,0;0,0;1437,0;409,0;2026,0;6,0
2024-04-03;0,0;0,0;1181,0;292,0;1395,0;9,0
2024-04-04;0,0;0,0;1224,0;354,0;1710,0;5,0
2024-04-05;0,0;0,0;847,0;252,0;1092,0;4,0
2024-04-06;0,0;0,0;230,0;78,0;315,0;3,0
2024-04-07;0,0;0,0;226,0;87,0;278,0;1,0
2024-04-08;0,0;0,0;338,0;82,0;333,0;1,0
2024-04-09;0,0;0,0;288,0;74,0;297,0;2,0
2024-04-10;0,0;0,0;239,0;86,0;249,0;2,0
2024-04-11;0,0;0,0;232,0;67,0;279,0;1,0
2024-04-12;0,0;0,0;227,0;49,0;259,0;3,0
2024-04-13;0,0;0,0;134,0;50,0;238,0;2,0
2024-04-14;0,0;0,0;182,0;70,0;258,0;1,0
2024-04-15;0,0;0,0;371,0;91,0;314,0;3,0
2024-04-16;0,0;0,0;358,0;69,0;311,0;3,0
2024-04-17;0,0;0,0;320,0;55,0;356,0;2,0
2024-04-18;0,0;0,0;389,0;88,0;382,0;1,0
2024-04-19;0,0;0,0;385,0;101,0;365,0;4,0
2024-04-20;0,0;0,0;415,0;97,0;426,0;2,0
2024-04-21;0,0;0,0;803,0;187,0;1025,0;3,0
2024-04-22;0,0;0,0;1318,0;396,0;1942,0;9,0
2024-04-23;0,0;0,0;1360,0;329,0;1584,0;7,0
2024-04-24;0,0;0,0;1164,0;286,0;1359,0;6,0
2024-04-25;0,0;0,0;1353,0;309,0;1664,0;6,0
2024-04-26;0,0;0,0;1006,0;267,0;1195,0;3,0
2024-04-27;0,0;0,0;558,0;131,0;607,0;3,0
2024-04-28;0,0;0,0;1007,0;239,0;1071,0;5,0
2024-04-29;0,0;0,0;1464,0;378,0;1903,0;8,0
2024-04-30;0,0;0,0;1293,0;299,0;1486,0;4,0
2024-05-01;0,0;0,0;1085,0;254,0;1117,0;10,0
2024-05-02;0,0;0,0;1394,0;358,0;1699,0;6,0
2024-05-03;0,0;0,0;927,0;250,0;1218,0;1,0
2024-05-04;0,0;0,0;534,0;141,0;599,0;4,0
2024-05-05;0,0;0,0;945,0;202,0;989,0;2,0
2024-05-06;0,0;0,0;1612,0;385,0;1939,0;7,0
2024-05-07;0,0;0,0;1442,0;316,0;1581,0;7,0
2024-05-08;0,0;0,0;503,0;122,0;543,0;2,0
2024-05-09;0,0;0,0;412,0;105,0;431,0;3,0
2024-05-10;0,0;0,0;392,0;119,0;438,0;1,0
2024-05-11;0,0;0,0;466,0;117,0;544,0;4,0
2024-05-12;0,0;0,0;965,0;207,0;1108,0;8,0
2024-05-13;0,0;0,0;1527,0;387,0;2111,0;10,0
2024-05-14;0,0;0,0;1685,0;349,0;1851,0;3,0
2024-05-15;0,0;0,0;1497,0;301,0;1660,0;8,0
2024-05-16;0,0;0,0;1585,0;315,0;1969,0;6,0
2024-05-17;0,0;0,0;1137,0;224,0;1561,0;2,0
2024-05-18;0,0;0,0;508,0;129,0;580,0;5,0
2024-05-19;1,0;0,0;609,0;128,0;592,0;4,0
2024-05-20;0,0;0,0;1139,0;252,0;1215,0;9,0
2024-05-21;0,0;0,0;1639,0;395,0;2204,0;9,0
2024-05-22;0,0;0,0;1431,0;300,0;1810,0;8,0
2024-05-23;0,0;0,0;1615,0;372,0;2340,0;5,0
2024-05-24;0,0;0,0;1098,0;248,0;1799,0;8,0
2024-05-25;0,0;0,0;584,0;132,0;744,0;2,0
2024-05-26;0,0;0,0;895,0;200,0;1114,0;5,0
2024-05-27;0,0;0,0;1480,0;345,0;2182,0;9,0
2024-05-28;0,0;0,0;1356,0;304,0;1739,0;7,0
2024-05-29;0,0;0,0;992,0;235,0;1396,0;5,0
2024-05-30;0,0;0,0;1171,0;299,0;1662,0;9,0
2024-05-31;0,0;0,0;983,0;206,0;1296,0;5,0
2024-06-01;0,0;0,0;388,0;85,0;474,0;2,0
2024-06-02;0,0;0,0;641,0;139,0;703,0;3,0
2024-06-03;0,0;0,0;1102,0;277,0;1636,0;8,0
2024-06-04;0,0;0,0;1311,0;259,0;1281,0;7,0
2024-06-05;0,0;0,0;906,0;197,0;959,0;5,0
2024-06-06;0,0;0,0;1049,0;257,0;1242,0;3,0
2024-06-07;0,0;0,0;890,0;185,0;1004,0;3,0
2024-06-08;0,0;0,0;357,0;54,0;268,0;1,0
2024-06-09;0,0;0,0;575,0;126,0;544,0;5,0
2024-06-10;0,0;0,0;1120,0;272,0;1215,0;14,0
2024-06-11;0,0;0,0;903,0;228,0;1047,0;3,0
2024-06-12;0,0;0,0;815,0;131,0;683,0;2,0
2024-06-13;0,0;0,0;686,0;89,0;683,0;1,0
2024-06-14;0,0;0,0;493,0;67,0;364,0;2,0
2024-06-15;0,0;0,0;252,0;47,0;210,0;0,0
2024-06-16;0,0;0,0;364,0;60,0;338,0;1,0
2024-06-17;0,0;0,0;588,0;86,0;500,0;8,0
2024-06-18;0,0;0,0;391,0;46,0;332,0;1,0
2024-06-19;0,0;0,0;327,0;38,0;230,0;2,0
2024-06-20;0,0;0,0;309,0;42,0;177,0;7,0
2024-06-21;0,0;0,0;230,0;25,0;128,0;1,0
2024-06-22;0,0;0,0;128,0;20,0;77,0;0,0
2024-06-23;0,0;0,0;170,0;27,0;115,0;1,0
2024-06-24;0,0;0,0;323,0;25,0;185,0;2,0
2024-06-25;0,0;0,0;268,0;30,0;197,0;2,0
2024-06-26;0,0;0,0;309,0;31,0;264,0;5,0
2024-06-27;0,0;0,0;277,0;22,0;187,0;5,0
2024-06-28;0,0;0,0;195,0;28,0;162,0;2,0
2024-06-29;0,0;0,0;79,0;19,0;62,0;2,0
2024-06-30;0,0;0,0;118,0;27,0;79,0;7,0
2024-07-01;0,0;0,0;174,0;21,0;174,0;4,0
2024-07-02;0,0;0,0;148,0;17,0;128,0;0,0
