dateHeureDebutMONTH;Autre;Console de jeux;Ordinateur;Skolengo App;Smartphone;Tablette
2024-03-01;4,0;;36474,0;9330,0;45657,0;197,0
2024-04-01;3,0;;21339,0;5538,0;26026,0;112,0
2024-05-01;1,0;;33608,0;7697,0;42031,0;174,0
2024-06-01;;;15564,0;2939,0;15346,0;105,0
2024-07-01;;;1637,0;247,0;1649,0;5,0
2024-08-01;;;733,0;24,0;364,0;
2024-09-01;2,0;;33615,0;7535,0;49049,0;307,0
2024-10-01;;;29247,0;6333,0;39430,0;244,0
2024-11-01;34,0;;37165,0;7875,0;49508,0;247,0
2024-12-01;4,0;2,0;26699,0;6336,0;37333,0;208,0
2025-01-01;16,0;;34259,0;7777,0;46576,0;231,0
2025-02-01;1,0;;17087,0;4094,0;24436,0;120,0
