Jour;Personnel;Eleve
2025-01-01;0;599
2025-01-02;0;952
2025-01-03;4;964
2025-01-04;2;1085
2025-01-05;2;2027
2025-01-06;29;3154
2025-01-07;25;2803
2025-01-08;16;2774
2025-01-09;31;2563
2025-01-10;21;1681
2025-01-11;4;1290
2025-01-12;5;2095
2025-01-13;22;3110
2025-01-14;30;2632
2025-01-15;19;2761
2025-01-16;17;2700
2025-01-17;27;1901
2025-01-18;0;1321
2025-01-19;8;2186
2025-01-20;38;3232
2025-01-21;38;3094
2025-01-22;21;2848
2025-01-23;40;2711
2025-01-24;29;1963
2025-01-25;0;1225
2025-01-26;7;2104
2025-01-27;32;2957
2025-01-28;22;2759
2025-01-29;15;2522
2025-01-30;34;2844
2025-01-31;29;2260
2025-02-01;0;1319
2025-02-02;3;2114
2025-02-03;24;3448
2025-02-04;26;2756
2025-02-05;19;2695
2025-02-06;22;2810
2025-02-07;37;2001
2025-02-08;0;1191
2025-02-09;1;2140
2025-02-11;30;2758
