Jour;Enseignant;Parent
2025-01-01;28;42
2025-01-02;57;105
2025-01-03;61;119
2025-01-04;80;100
2025-01-05;110;208
2025-01-06;392;483
2025-01-07;380;441
2025-01-08;269;407
2025-01-09;425;463
2025-01-10;326;336
2025-01-11;84;149
2025-01-12;110;278
2025-01-13;389;496
2025-01-14;397;462
2025-01-15;299;390
2025-01-16;460;487
2025-01-17;347;392
2025-01-18;66;162
2025-01-19;137;287
2025-01-20;426;520
2025-01-21;416;507
2025-01-22;270;444
2025-01-23;438;451
2025-01-24;366;360
2025-01-25;79;149
2025-01-26;147;254
2025-01-27;412;466
2025-01-28;410;454
2025-01-29;283;381
2025-01-30;460;476
2025-01-31;369;368
2025-02-01;104;165
2025-02-02;148;253
2025-02-03;450;505
2025-02-04;402;451
2025-02-05;312;441
2025-02-06;436;474
2025-02-07;358;421
2025-02-08;71;168
2025-02-09;132;258
2025-02-11;402;530
