année,Distance,Production
1980,18.7389,546.764
1981,18.7982,546.029
1982,18.8636,553.199
1983,18.9279,586.835
1984,18.9951,618.331
1985,19.0599,638.364
1986,19.1244,643.521
1987,19.1902,693.668
1988,19.2579,725.328
1989,19.3212,763.506
1990,19.3877,813.348
1991,19.4535,840.404
1992,19.5176,848.558
1993,19.5817,856.06
1994,19.6425,911.02
1995,19.6999,935.922
1996,19.7555,955.009
1997,19.8053,985.076
1998,19.8512,991.287
1999,19.894,996.945
2000,19.9294,983.184
2001,19.9645,965.017
2002,19.9955,982.598
2003,20.0212,973.485
2004,20.0443,1001.92
2005,20.0666,1011.13
2006,20.0823,1028.62
2007,20.0961,1069.04
2008,20.1015,1003.21
2009,20.1059,974.935
2010,20.1047,1079.22
2011,20.0959,1044.07
2012,20.0797,1043.55
2013,20.0648,1027.43
2014,20.0405,1027.24
2015,20.0136,1003.03
2016,19.9804,1002.32
2017,19.9478,1005.87
2018,19.9116,1008.91
2019,19.8719,988.982
2020,19.8254,960.785
2021,19.7836,954.857
