dateHeureDebutDAY;Autre;Collectivité;Enseignant;Parent;Personnel;Élève
2024-02-12;0,0;0,0;71,0;151,0;7,0;747,0
2024-02-13;0,0;0,0;31,0;108,0;1,0;644,0
2024-02-14;3,0;0,0;52,0;81,0;8,0;599,0
2024-02-15;0,0;0,0;48,0;93,0;3,0;717,0
2024-02-16;0,0;0,0;50,0;116,0;3,0;698,0
2024-02-17;0,0;0,0;35,0;73,0;0,0;565,0
2024-02-18;0,0;0,0;49,0;72,0;0,0;589,0
2024-02-19;0,0;0,0;49,0;112,0;0,0;812,0
2024-02-20;1,0;0,0;61,0;105,0;1,0;816,0
2024-02-21;0,0;0,0;70,0;107,0;0,0;871,0
2024-02-22;0,0;0,0;64,0;109,0;0,0;906,0
2024-02-23;0,0;0,0;66,0;97,0;2,0;1018,0
2024-02-24;0,0;0,0;57,0;107,0;0,0;1025,0
2024-02-25;0,0;0,0;135,0;244,0;1,0;2208,0
2024-02-26;5,0;0,0;473,0;575,0;24,0;3605,0
2024-02-27;1,0;0,0;418,0;533,0;35,0;3059,0
2024-02-28;0,0;1,0;305,0;424,0;21,0;2751,0
2024-02-29;0,0;0,0;352,0;523,0;28,0;2642,0
2024-03-01;1,0;0,0;335,0;421,0;30,0;2092,0
2024-03-02;0,0;0,0;89,0;187,0;0,0;1318,0
2024-03-03;0,0;0,0;130,0;304,0;2,0;2041,0
2024-03-04;2,0;0,0;466,0;533,0;27,0;3280,0
2024-03-05;1,0;0,0;426,0;552,0;27,0;2967,0
2024-03-06;2,0;0,0;303,0;430,0;18,0;2695,0
2024-03-07;1,0;0,0;407,0;497,0;33,0;2966,0
2024-03-08;3,0;0,0;365,0;455,0;29,0;2059,0
2024-03-09;0,0;0,0;118,0;185,0;0,0;1345,0
2024-03-10;0,0;0,0;127,0;282,0;1,0;2085,0
2024-03-11;2,0;0,0;442,0;643,0;35,0;3273,0
2024-03-12;2,0;0,0;388,0;540,0;25,0;2585,0
2024-03-13;1,0;0,0;260,0;466,0;22,0;2655,0
2024-03-14;0,0;0,0;382,0;538,0;37,0;2839,0
2024-03-15;0,0;0,0;278,0;441,0;21,0;1861,0
2024-03-16;0,0;0,0;71,0;186,0;0,0;1195,0
2024-03-17;0,0;0,0;116,0;311,0;0,0;2015,0
2024-03-18;1,0;0,0;442,0;682,0;36,0;3579,0
2024-03-19;0,0;0,0;321,0;612,0;20,0;2795,0
2024-03-20;1,0;0,0;255,0;493,0;13,0;2415,0
2024-03-21;2,0;0,0;374,0;545,0;33,0;2824,0
2024-03-22;1,0;1,0;339,0;415,0;25,0;1981,0
2024-03-23;0,0;0,0;69,0;183,0;2,0;1229,0
2024-03-24;1,0;0,0;119,0;281,0;1,0;2039,0
2024-03-25;3,0;0,0;330,0;507,0;27,0;2623,0
2024-03-26;1,0;0,0;348,0;481,0;27,0;2623,0
2024-03-27;1,0;0,0;242,0;383,0;11,0;2260,0
2024-03-28;0,0;0,0;362,0;468,0;42,0;2441,0
2024-03-29;1,0;0,0;319,0;383,0;28,0;1938,0
