Nom_commune;Coordonnees_gps;Departement
VIC FEZENSAC;43.762029942, 0.297842185088;GERS
LARRAZET;43.9324522931, 1.08287865971;TARN ET GARONNE
ST MARTIN D ENTRAUNES;44.1494414084, 6.74588335024;ALPES MARITIMES
LARGEASSE;46.6817186542, -0.514612797017;DEUX SEVRES
AMBUTRIX;45.9367134524, 5.3328092349;AIN
HEYRIEUX;45.6280667803, 5.05921319142;ISERE
HASTINGUES;43.5160536898, -1.13714325683;LANDES
THIANT;50.2978015553, 3.43898383487;NORD
CASTILLON DE ST MARTORY;43.1370495507, 0.85105513739;HAUTE GARONNE
NOHANT EN GRACAY;47.1336454344, 1.91231886836;CHER
ST JULIEN GAULENE;43.9961595825, 2.34196813906;TARN
LES GROSEILLERS;46.5316195525, -0.406780672579;DEUX SEVRES
LOGNES;48.8332806021, 2.63346363172;SEINE ET MARNE
MOUY;49.3172920199, 2.29984372967;OISE
PLOMBIERES LES DIJON;47.3386201573, 4.95005416615;COTE D OR
ISOMES;47.6383926135, 5.30585029521;HAUTE MARNE
PRADIERES;42.9611572235, 1.65602192048;ARIEGE
LUCEAU;47.7177033077, 0.391455867565;SARTHE
MILLY SUR THERAIN;49.5090452996, 2.01406401611;OISE
BLENOD LES PONT A MOUSSON;48.8752634053, 6.0622081682;MEURTHE ET MOSELLE
ST HILAIRE DE VILLEFRANCHE;45.8589827004, -0.536045938535;CHARENTE MARITIME
BARBAS;48.5709454434, 6.8498123198;MEURTHE ET MOSELLE
AVORD;47.0320503423, 2.66580708853;CHER
PONCIN;46.089530586, 5.41681266947;AIN
LILLE;50.6317183168, 3.04783272312;NORD
LES THUILES;44.390358455, 6.56135597439;ALPES DE HAUTE PROVENCE
AUTICHAMP;44.6832370782, 4.97341500658;DROME
LESDINS;49.9043632178, 3.31462117869;AISNE
FOUILLOY;49.8905768048, 2.50445171042;SOMME
ST MARTIN DE BIENFAITE LA CRESSONNIERE;49.0328920711, 0.352774402255;CALVADOS
BANTOUZELLE;50.0579473391, 3.22511810175;NORD
BACOUEL SUR SELLE;49.8303379321, 2.19407560384;SOMME
FOSSEUX;50.2541868154, 2.56492880738;PAS DE CALAIS
LE PLESSIS HEBERT;48.9816522888, 1.36285630147;EURE
NOMDIEU;44.0797133373, 0.469920586067;LOT ET GARONNE
CHAMOLE;46.8443055833, 5.73874767152;JURA
MENTHONNEX SOUS CLERMONT;45.9618992174, 5.93569269941;HAUTE SAVOIE
VIEURE;46.5001110432, 2.88222237454;ALLIER
GESNES LE GANDELIN;48.3576711707, 0.0296457032236;SARTHE
LES ULMES;47.2234666455, -0.18231147008;MAINE ET LOIRE
ZUYTPEENE;50.7918240712, 2.42330162819;NORD
GERBECOURT;48.8513266231, 6.51598424383;MOSELLE
LA BASSE VAIVRE;47.9478481115, 6.05472696195;HAUTE SAONE
NAMPS MAISNIL;49.8061321479, 2.1229976802;SOMME
HORSARRIEU;43.6877129762, -0.601086715488;LANDES
NANCLARS;45.8437586253, 0.223555807961;CHARENTE
ST JUST PRES BRIOUDE;45.2327467078, 3.3312524212;HAUTE LOIRE
LAUBERT;44.5972040067, 3.64498618428;LOZERE
ST URBAIN;48.3969194336, -4.22206761804;FINISTERE
LINTHELLES;48.7138896496, 3.81792576197;MARNE
POLASTRON;43.5342676704, 0.838990733571;GERS
CHAUCHIGNY;48.4261431924, 3.98046866414;AUBE
RETONVAL;49.8123722016, 1.59427014376;SEINE MARITIME
MONTREUX;48.5354543018, 6.88782007418;MEURTHE ET MOSELLE
ST ANGE LE VIEL;48.2723686746, 2.90471445471;SEINE ET MARNE
HALLOY;49.6498614207, 1.9366921667;OISE
GARCHES;48.8450113548, 2.18665007789;HAUTS DE SEINE
VAL DES PRES;44.9505522191, 6.66654834986;HAUTES ALPES
